,Entity,Year,Vegetable Oil
0,Albania,2007,172.60273972602738
1,Armenia,2007,182.46575342465752
2,Austria,2007,542.4657534246576
3,Azerbaijan,2007,71.5068493150685
4,Belarus,2007,387.1232876712329
5,Belgium,2007,540.0
6,Bosnia and Herzegovina,2007,184.93150684931504
7,Bulgaria,2007,374.7945205479453
8,Croatia,2007,362.4657534246575
9,Cyprus,2007,347.9178082191781
10,Denmark,2007,194.7945205479452
11,Estonia,2007,207.12328767123287
12,Finland,2007,266.3013698630137
13,France,2007,507.94520547945206
14,Georgia,2007,177.53424657534248
15,Germany,2007,451.2328767123288
16,Greece,2007,618.9041095890411
17,Hungary,2007,485.7534246575343
18,Iceland,2007,81.36986301369863
19,Ireland,2007,384.6575342465753
20,Italy,2007,673.1506849315069
21,Latvia,2007,387.1232876712329
22,Lithuania,2007,239.17808219178085
23,Luxembourg,2007,414.24657534246575
24,Malta,2007,177.53424657534248
25,Moldova,2007,261.3698630136986
26,Montenegro,2007,318.0821917808219
27,Norway,2007,392.054794520548
28,Poland,2007,276.16438356164383
29,Portugal,2007,441.3698630136986
30,Romania,2007,325.47945205479454
31,Russia,2007,298.3561643835617
32,Serbia,2007,226.84931506849315
33,Slovakia,2007,263.83561643835617
34,Slovenia,2007,305.75342465753425
35,Spain,2007,660.8219178082192
36,Sweden,2007,401.9178082191781
37,Switzerland,2007,453.6986301369863
38,Turkey,2007,584.3835616438356
39,Ukraine,2007,345.2054794520548
40,United Kingdom,2007,414.24657534246575
41,Albania,2008,155.34246575342465
42,Armenia,2008,175.06849315068496
43,Austria,2008,569.5890410958904
44,Azerbaijan,2008,64.10958904109589
45,Belarus,2008,382.1917808219178
46,Belgium,2008,569.5890410958904
47,Bosnia and Herzegovina,2008,192.3287671232877
48,Bulgaria,2008,256.43835616438355
49,Croatia,2008,396.98630136986304
50,Cyprus,2008,366.4109589041096
51,Denmark,2008,175.06849315068496
52,Estonia,2008,207.12328767123287
53,Finland,2008,253.97260273972603
54,France,2008,517.8082191780821
55,Georgia,2008,155.34246575342465
56,Germany,2008,461.0958904109589
57,Greece,2008,668.2191780821918
58,Hungary,2008,485.7534246575343
59,Iceland,2008,78.9041095890411
60,Ireland,2008,406.8493150684932
61,Italy,2008,675.6164383561644
62,Latvia,2008,323.013698630137
63,Lithuania,2008,204.65753424657532
64,Luxembourg,2008,404.3835616438356
65,Malta,2008,293.42465753424653
66,Moldova,2008,340.2739726027397
67,Montenegro,2008,357.5342465753425
68,Norway,2008,448.7671232876712
69,Poland,2008,293.42465753424653
70,Portugal,2008,498.0821917808219
71,Romania,2008,310.6849315068493
72,Russia,2008,298.3561643835617
73,Serbia,2008,239.17808219178085
74,Slovakia,2008,263.83561643835617
75,Slovenia,2008,327.94520547945206
76,Spain,2008,687.945205479452
77,Sweden,2008,404.3835616438356
78,Switzerland,2008,485.7534246575343
79,Turkey,2008,552.3287671232877
80,Ukraine,2008,360.0
81,United Kingdom,2008,451.2328767123288
82,Albania,2009,172.60273972602738
83,Armenia,2009,175.06849315068496
84,Austria,2009,579.4520547945206
85,Azerbaijan,2009,46.84931506849316
86,Belarus,2009,323.013698630137
87,Belgium,2009,579.4520547945206
88,Bosnia and Herzegovina,2009,167.67123287671234
89,Bulgaria,2009,396.98630136986304
90,Croatia,2009,335.3424657534247
91,Cyprus,2009,429.041095890411
92,Denmark,2009,209.5890410958904
93,Estonia,2009,189.8630136986301
94,Finland,2009,253.97260273972603
95,France,2009,530.1369863013699
96,Georgia,2009,263.83561643835617
97,Germany,2009,446.3013698630137
98,Greece,2009,646.027397260274
99,Hungary,2009,461.0958904109589
100,Iceland,2009,157.8082191780822
101,Ireland,2009,387.1232876712329
102,Italy,2009,658.3561643835616
103,Latvia,2009,396.98630136986304
104,Lithuania,2009,199.72602739726028
105,Luxembourg,2009,347.67123287671234
106,Malta,2009,290.958904109589
107,Moldova,2009,350.1369863013699
108,Montenegro,2009,318.0821917808219
109,Norway,2009,382.1917808219178
110,Poland,2009,320.54794520547944
111,Portugal,2009,500.5479452054794
112,Romania,2009,315.6164383561644
113,Russia,2009,305.75342465753425
114,Serbia,2009,239.17808219178085
115,Slovakia,2009,295.8904109589041
116,Slovenia,2009,325.47945205479454
117,Spain,2009,739.7260273972602
118,Sweden,2009,404.3835616438356
119,Switzerland,2009,483.28767123287673
120,Turkey,2009,576.986301369863
121,Ukraine,2009,357.5342465753425
122,United Kingdom,2009,451.2328767123288
123,Albania,2010,140.54794520547946
124,Armenia,2010,182.46575342465752
125,Austria,2010,596.7123287671234
126,Azerbaijan,2010,61.64383561643835
127,Belarus,2010,377.2602739726028
128,Belgium,2010,458.6301369863014
129,Bosnia and Herzegovina,2010,184.93150684931504
130,Bulgaria,2010,308.2191780821918
131,Croatia,2010,273.6986301369863
132,Cyprus,2010,446.3013698630137
133,Denmark,2010,165.2054794520548
134,Estonia,2010,170.13698630136986
135,Finland,2010,249.04109589041096
136,France,2010,520.2739726027397
137,Georgia,2010,180.0
138,Germany,2010,433.972602739726
139,Greece,2010,655.8904109589041
140,Hungary,2010,488.2191780821918
141,Iceland,2010,155.34246575342465
142,Ireland,2010,436.4383561643836
143,Italy,2010,680.5479452054794
144,Latvia,2010,355.06849315068496
145,Lithuania,2010,234.24657534246572
146,Luxembourg,2010,241.6438356164384
147,Malta,2010,290.958904109589
148,Moldova,2010,303.28767123287673
149,Montenegro,2010,318.0821917808219
150,Norway,2010,443.83561643835617
151,Poland,2010,290.958904109589
152,Portugal,2010,500.5479452054794
153,Romania,2010,360.0
154,Russia,2010,320.54794520547944
155,Serbia,2010,226.84931506849315
156,Slovakia,2010,303.28767123287673
157,Slovenia,2010,325.47945205479454
158,Spain,2010,764.3835616438356
159,Sweden,2010,411.7808219178082
160,Switzerland,2010,488.2191780821918
161,Turkey,2010,567.1232876712329
162,Ukraine,2010,340.2739726027397
163,United Kingdom,2010,461.0958904109589
164,Albania,2011,133.15068493150685
165,Armenia,2011,192.3287671232877
166,Austria,2011,549.8630136986301
167,Azerbaijan,2011,56.71232876712329
168,Belarus,2011,429.041095890411
169,Belgium,2011,557.2602739726028
170,Bosnia and Herzegovina,2011,180.0
171,Bulgaria,2011,310.6849315068493
172,Croatia,2011,273.6986301369863
173,Cyprus,2011,441.3698630136986
174,Denmark,2011,184.93150684931504
175,Estonia,2011,152.87671232876713
176,Finland,2011,241.6438356164384
177,France,2011,517.8082191780821
178,Georgia,2011,106.02739726027396
179,Germany,2011,429.041095890411
180,Greece,2011,653.4246575342465
181,Hungary,2011,458.6301369863014
182,Iceland,2011,152.87671232876713
183,Ireland,2011,409.3150684931507
184,Italy,2011,690.4109589041095
185,Latvia,2011,369.8630136986301
186,Lithuania,2011,234.24657534246572
187,Luxembourg,2011,239.17808219178085
188,Malta,2011,288.4931506849315
189,Moldova,2011,327.94520547945206
190,Montenegro,2011,278.6301369863014
191,Norway,2011,419.1780821917808
192,Poland,2011,330.4109589041096
193,Portugal,2011,505.47945205479454
194,Romania,2011,332.8767123287671
195,Russia,2011,323.013698630137
196,Serbia,2011,175.06849315068496
197,Slovakia,2011,303.28767123287673
198,Slovenia,2011,310.6849315068493
199,Spain,2011,821.0958904109589
200,Sweden,2011,416.71232876712327
201,Switzerland,2011,495.6164383561644
202,Turkey,2011,613.972602739726
203,Ukraine,2011,315.6164383561644
204,United Kingdom,2011,431.5068493150685
